Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
670513d2ae8ca23605890db3,Begin UI,https://trello.com/c/0G5UG1bX/3-begin-ui,"# Week 1

This first week will consist on planning the UI design.

Developer 2 will work on this alone

- UI prototype design",User Interface  UI  (green),zombidito66,,0,,0,0,0,0,2024-10-08T15:03:37.080Z,6705133e8ced33e9b71cba4c,Sprint 1,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513d7d849d71e479c629d,Setup Project,https://trello.com/c/cOy7huVT/4-setup-project,"# Week 1

This week will consist of creating the base structures to maintain the project.

This phase will consist of a pair programming of the general programmer and Developer 1.

Work to do:

- Create the basic project and setup the repositories and install all the needed libraries.
- Setup the base testing units.
- Create a first prototype for a simple math exercise like addition.",Core Gameplay (yellow),"developer1212, elgoni64",,0,,0,0,0,0,2024-10-08T15:04:03.726Z,6705133e8ced33e9b71cba4c,Sprint 1,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513d9b0549ef823de9f9d,Begin Core Gameplay,https://trello.com/c/QNOD7lOj/5-begin-core-gameplay,"# Week 2

In week 2 the developers will separate in different work objectives and will start to implement the systems.

This will be done by the general programmer

- Implement the addition and subtraction.
- Implement different difficulty levels.",Core Gameplay (yellow),elgoni64,,0,,0,0,0,0,2024-10-08T15:03:59.270Z,670513446efa604776c83a43,Sprint 2,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513e8b8b6f49ecbcfc0be,Implement UI,https://trello.com/c/f9tFfQse/7-implement-ui,"# Week 2

In week 2 the developers will separate in different work objectives and will start to implement the systems.

This will be done by Developer 2

- Implement UI design on the game.
- Create the basic UI functionalities like buttons.",User Interface  UI  (green),zombidito66,,0,,0,0,0,0,2024-10-08T15:04:15.426Z,670513446efa604776c83a43,Sprint 2,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
6705140732543164743e50ce,Begin Dialogue System,https://trello.com/c/6lI5ZWhk/12-begin-dialogue-system,"# Week 2

In week 2 the developers will separate in different work objectives and will start to implement the systems.

This will be done by Developer 1

- Design the dialogue on paper.
- First dialogue prototype.",Dialogue System (orange),developer1212,,0,,0,0,0,0,2024-10-08T15:04:21.228Z,670513446efa604776c83a43,Sprint 2,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513dd9b5c1d3a3285418b,Finish Core Gameplay,https://trello.com/c/wFZxD4oM/6-finish-core-gameplay,"# Week 3

In week 3 the developers will continue working on their own assignments

This will be done by the general developer

- Implement exercises like multiplication and division.
- Implement different difficulty levels.",Core Gameplay (yellow),elgoni64,,0,,0,0,0,0,2024-10-08T15:04:51.207Z,6705135ca3bb67c919c8c28d,Sprint 3,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513eaf227f870e590bf0a,Finish UI,https://trello.com/c/6a8tLofB/8-finish-ui,"# Week 3

In week 3 the developers will continue working on their own assignments

This will be done by the Developer 2

- Finish the UI systems",User Interface  UI  (green),zombidito66,,0,,0,0,0,0,2024-10-08T15:04:36.978Z,6705135ca3bb67c919c8c28d,Sprint 3,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670514086d65a09f154db0d3,Implement Dialogue System,https://trello.com/c/Xy1AvgOT/13-implement-dialogue-system,"# Week 3

In week 3 the developers will continue working on their own assignments

This will be done by the Developer 1

- Finish implementing the dialogue system.",Dialogue System (orange),developer1212,,0,,0,0,0,0,2024-10-08T15:04:31.016Z,6705135ca3bb67c919c8c28d,Sprint 3,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
670513ef38a157d80af55604,Test UI,https://trello.com/c/C715pIEk/9-test-ui,"# Week 4

In week 4 the developers will finish their own assignments and start new ones

This will be done by the Developer 2

- Test the UI",User Interface  UI  (green),zombidito66,,0,,0,0,0,0,2024-10-08T15:05:00.231Z,6705136a89dc2be5b80973df,Sprint 4,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
67051416c6cde6901a80062d,Begin Localization,https://trello.com/c/FgfJtXAF/15-begin-localization,"# Week 4

In week 4 the developers will finish their own assignments and start new ones

This will be done by the general developer as he knows spanish

- Begin localizing the dialogs to spanish.
- Outsource the Korean localization.",Localization (blue),elgoni64,,0,,0,0,0,0,2024-10-08T15:05:07.737Z,6705136a89dc2be5b80973df,Sprint 4,6705131d35792e397ef39843,Educational Maths Game Development,false,,false
